symbol,timestamp,open,high,low,close,volume
NIFTY,2026-02-13 03:45:00+00:00,25578.599609375,25625.099609375,25563.650390625,25589.400390625,0
NIFTY,2026-02-13 03:46:00+00:00,25588.650390625,25592.75,25575.849609375,25590.650390625,0
NIFTY,2026-02-13 03:47:00+00:00,25590.5,25605.30078125,25585.75,25598.55078125,0
NIFTY,2026-02-13 03:48:00+00:00,25597.55078125,25617.25,25597.55078125,25606.5,0
NIFTY,2026-02-13 03:49:00+00:00,25606.650390625,25610.55078125,25588.599609375,25596.400390625,0
NIFTY,2026-02-13 03:50:00+00:00,25597.099609375,25597.400390625,25581.349609375,25597.400390625,0
NIFTY,2026-02-13 03:51:00+00:00,25600.05078125,25601.900390625,25585.80078125,25587.900390625,0
NIFTY,2026-02-13 03:52:00+00:00,25588.55078125,25593.650390625,25580.099609375,25582.5,0
NIFTY,2026-02-13 03:53:00+00:00,25582.849609375,25597.69921875,25581.599609375,25596.650390625,0
NIFTY,2026-02-13 03:54:00+00:00,25595.5,25605.650390625,25594.349609375,25602.650390625,0
NIFTY,2026-02-13 03:55:00+00:00,25605.0,25605.0,25591.55078125,25591.55078125,0
NIFTY,2026-02-13 03:56:00+00:00,25594.5,25604.349609375,25585.25,25587.5,0
NIFTY,2026-02-13 03:57:00+00:00,25588.5,25599.400390625,25585.650390625,25592.849609375,0
NIFTY,2026-02-13 03:58:00+00:00,25594.400390625,25594.400390625,25587.0,25591.25,0
NIFTY,2026-02-13 03:59:00+00:00,25590.5,25590.94921875,25583.94921875,25585.69921875,0
NIFTY,2026-02-13 04:00:00+00:00,25586.099609375,25586.099609375,25564.5,25566.099609375,0
NIFTY,2026-02-13 04:01:00+00:00,25566.19921875,25576.75,25565.900390625,25565.900390625,0
NIFTY,2026-02-13 04:02:00+00:00,25566.599609375,25566.599609375,25555.849609375,25559.900390625,0
NIFTY,2026-02-13 04:03:00+00:00,25560.0,25567.75,25559.349609375,25561.19921875,0
NIFTY,2026-02-13 04:04:00+00:00,25562.0,25562.0,25545.55078125,25547.69921875,0
NIFTY,2026-02-13 04:05:00+00:00,25549.0,25550.900390625,25544.349609375,25549.19921875,0
NIFTY,2026-02-13 04:06:00+00:00,25549.400390625,25550.55078125,25541.55078125,25543.150390625,0
NIFTY,2026-02-13 04:07:00+00:00,25542.05078125,25545.80078125,25538.80078125,25542.650390625,0
NIFTY,2026-02-13 04:08:00+00:00,25543.05078125,25548.349609375,25541.94921875,25542.55078125,0
NIFTY,2026-02-13 04:09:00+00:00,25543.349609375,25543.349609375,25534.650390625,25538.30078125,0
NIFTY,2026-02-13 04:10:00+00:00,25537.400390625,25538.849609375,25525.900390625,25533.900390625,0
NIFTY,2026-02-13 04:11:00+00:00,25534.94921875,25550.55078125,25533.69921875,25549.150390625,0
NIFTY,2026-02-13 04:12:00+00:00,25551.349609375,25558.0,25549.650390625,25554.69921875,0
NIFTY,2026-02-13 04:13:00+00:00,25554.69921875,25564.849609375,25554.69921875,25564.25,0
NIFTY,2026-02-13 04:14:00+00:00,25563.75,25566.25,25552.75,25560.849609375,0
NIFTY,2026-02-13 04:15:00+00:00,25560.75,25564.44921875,25555.55078125,25561.94921875,0
NIFTY,2026-02-13 04:16:00+00:00,25561.599609375,25563.94921875,25549.900390625,25557.80078125,0
NIFTY,2026-02-13 04:17:00+00:00,25557.44921875,25559.5,25546.94921875,25548.05078125,0
NIFTY,2026-02-13 04:18:00+00:00,25549.849609375,25557.44921875,25548.05078125,25550.25,0
NIFTY,2026-02-13 04:19:00+00:00,25551.05078125,25551.349609375,25541.05078125,25544.25,0
NIFTY,2026-02-13 04:20:00+00:00,25543.19921875,25547.19921875,25537.25,25540.349609375,0
NIFTY,2026-02-13 04:21:00+00:00,25540.94921875,25548.94921875,25537.05078125,25548.05078125,0
NIFTY,2026-02-13 04:22:00+00:00,25548.94921875,25558.30078125,25548.599609375,25555.599609375,0
NIFTY,2026-02-13 04:23:00+00:00,25557.19921875,25565.05078125,25555.94921875,25561.099609375,0
NIFTY,2026-02-13 04:24:00+00:00,25561.30078125,25565.30078125,25553.099609375,25553.650390625,0
NIFTY,2026-02-13 04:25:00+00:00,25553.150390625,25555.05078125,25544.69921875,25544.69921875,0
NIFTY,2026-02-13 04:26:00+00:00,25545.44921875,25546.30078125,25532.349609375,25536.599609375,0
NIFTY,2026-02-13 04:27:00+00:00,25536.80078125,25538.05078125,25531.5,25536.0,0
NIFTY,2026-02-13 04:28:00+00:00,25536.400390625,25539.94921875,25532.05078125,25535.099609375,0
NIFTY,2026-02-13 04:29:00+00:00,25536.849609375,25541.0,25533.69921875,25534.44921875,0
NIFTY,2026-02-13 04:30:00+00:00,25534.650390625,25542.19921875,25532.5,25536.599609375,0
NIFTY,2026-02-13 04:31:00+00:00,25538.05078125,25548.5,25537.55078125,25547.19921875,0
NIFTY,2026-02-13 04:32:00+00:00,25547.650390625,25548.69921875,25537.25,25539.94921875,0
NIFTY,2026-02-13 04:33:00+00:00,25540.19921875,25546.19921875,25537.349609375,25543.599609375,0
NIFTY,2026-02-13 04:34:00+00:00,25543.80078125,25550.69921875,25538.650390625,25549.0,0
NIFTY,2026-02-13 04:35:00+00:00,25549.849609375,25550.5,25540.849609375,25542.349609375,0
NIFTY,2026-02-13 04:36:00+00:00,25542.5,25544.05078125,25537.400390625,25537.900390625,0
NIFTY,2026-02-13 04:37:00+00:00,25538.0,25544.25,25535.650390625,25540.599609375,0
NIFTY,2026-02-13 04:38:00+00:00,25539.849609375,25541.55078125,25535.349609375,25538.400390625,0
NIFTY,2026-02-13 04:39:00+00:00,25538.150390625,25539.05078125,25531.69921875,25534.94921875,0
NIFTY,2026-02-13 04:40:00+00:00,25535.80078125,25536.44921875,25529.849609375,25531.19921875,0
NIFTY,2026-02-13 04:41:00+00:00,25530.69921875,25537.25,25529.349609375,25535.349609375,0
NIFTY,2026-02-13 04:42:00+00:00,25535.400390625,25544.75,25532.900390625,25543.80078125,0
NIFTY,2026-02-13 04:43:00+00:00,25543.94921875,25546.94921875,25537.400390625,25537.650390625,0
NIFTY,2026-02-13 04:44:00+00:00,25537.25,25539.44921875,25529.69921875,25531.75,0
NIFTY,2026-02-13 04:45:00+00:00,25531.5,25533.05078125,25522.150390625,25527.75,0
NIFTY,2026-02-13 04:46:00+00:00,25528.05078125,25528.650390625,25522.5,25524.75,0
NIFTY,2026-02-13 04:47:00+00:00,25525.0,25525.099609375,25513.55078125,25516.44921875,0
NIFTY,2026-02-13 04:48:00+00:00,25517.30078125,25528.05078125,25516.349609375,25526.75,0
NIFTY,2026-02-13 04:49:00+00:00,25527.0,25530.400390625,25521.900390625,25526.25,0
NIFTY,2026-02-13 04:50:00+00:00,25527.0,25534.94921875,25524.150390625,25532.75,0
NIFTY,2026-02-13 04:51:00+00:00,25532.30078125,25532.30078125,25525.5,25529.80078125,0
NIFTY,2026-02-13 04:52:00+00:00,25530.75,25531.650390625,25524.0,25526.69921875,0
NIFTY,2026-02-13 04:53:00+00:00,25527.599609375,25539.900390625,25526.400390625,25536.94921875,0
NIFTY,2026-02-13 04:54:00+00:00,25537.849609375,25540.69921875,25535.099609375,25538.900390625,0
NIFTY,2026-02-13 04:55:00+00:00,25539.75,25544.400390625,25538.55078125,25541.80078125,0
NIFTY,2026-02-13 04:56:00+00:00,25542.0,25549.19921875,25539.55078125,25548.849609375,0
NIFTY,2026-02-13 04:57:00+00:00,25549.599609375,25551.75,25543.55078125,25551.75,0
NIFTY,2026-02-13 04:58:00+00:00,25551.80078125,25553.25,25544.900390625,25546.25,0
NIFTY,2026-02-13 04:59:00+00:00,25545.75,25550.400390625,25543.5,25548.94921875,0
NIFTY,2026-02-13 05:00:00+00:00,25548.55078125,25562.69921875,25548.25,25556.349609375,0
NIFTY,2026-02-13 05:01:00+00:00,25557.25,25560.849609375,25550.0,25560.05078125,0
NIFTY,2026-02-13 05:02:00+00:00,25560.0,25564.400390625,25558.599609375,25560.349609375,0
NIFTY,2026-02-13 05:03:00+00:00,25560.94921875,25567.80078125,25556.55078125,25566.0,0
NIFTY,2026-02-13 05:04:00+00:00,25566.05078125,25572.150390625,25565.5,25567.30078125,0
NIFTY,2026-02-13 05:05:00+00:00,25567.25,25574.69921875,25564.30078125,25569.94921875,0
NIFTY,2026-02-13 05:06:00+00:00,25569.900390625,25571.69921875,25562.69921875,25564.900390625,0
NIFTY,2026-02-13 05:07:00+00:00,25565.94921875,25572.94921875,25563.69921875,25571.25,0
NIFTY,2026-02-13 05:08:00+00:00,25571.55078125,25574.05078125,25568.400390625,25572.650390625,0
NIFTY,2026-02-13 05:09:00+00:00,25573.400390625,25581.650390625,25572.099609375,25579.400390625,0
NIFTY,2026-02-13 05:10:00+00:00,25578.94921875,25580.19921875,25573.55078125,25579.19921875,0
NIFTY,2026-02-13 05:11:00+00:00,25579.80078125,25581.0,25571.400390625,25571.400390625,0
NIFTY,2026-02-13 05:12:00+00:00,25572.900390625,25583.75,25570.25,25583.400390625,0
NIFTY,2026-02-13 05:13:00+00:00,25583.19921875,25584.30078125,25579.55078125,25580.69921875,0
NIFTY,2026-02-13 05:14:00+00:00,25581.150390625,25581.599609375,25572.150390625,25574.099609375,0
NIFTY,2026-02-13 05:15:00+00:00,25573.30078125,25573.75,25568.94921875,25568.94921875,0
NIFTY,2026-02-13 05:16:00+00:00,25569.30078125,25571.849609375,25564.349609375,25570.5,0
NIFTY,2026-02-13 05:17:00+00:00,25570.5,25570.75,25561.05078125,25563.44921875,0
NIFTY,2026-02-13 05:18:00+00:00,25564.19921875,25568.80078125,25562.5,25567.849609375,0
NIFTY,2026-02-13 05:19:00+00:00,25567.94921875,25568.05078125,25557.849609375,25558.099609375,0
NIFTY,2026-02-13 05:20:00+00:00,25558.150390625,25558.150390625,25543.94921875,25547.55078125,0
NIFTY,2026-02-13 05:21:00+00:00,25548.099609375,25554.599609375,25548.099609375,25553.400390625,0
NIFTY,2026-02-13 05:22:00+00:00,25553.599609375,25563.69921875,25553.25,25563.099609375,0
NIFTY,2026-02-13 05:23:00+00:00,25564.30078125,25566.30078125,25558.55078125,25558.55078125,0
NIFTY,2026-02-13 05:24:00+00:00,25558.349609375,25561.19921875,25556.55078125,25559.849609375,0
NIFTY,2026-02-13 05:25:00+00:00,25560.0,25569.69921875,25557.849609375,25569.400390625,0
NIFTY,2026-02-13 05:26:00+00:00,25569.80078125,25574.599609375,25567.650390625,25573.349609375,0
NIFTY,2026-02-13 05:27:00+00:00,25572.349609375,25573.94921875,25564.69921875,25565.55078125,0
NIFTY,2026-02-13 05:28:00+00:00,25565.650390625,25570.0,25562.75,25563.55078125,0
NIFTY,2026-02-13 05:29:00+00:00,25565.400390625,25565.400390625,25559.75,25560.5,0
NIFTY,2026-02-13 05:30:00+00:00,25561.900390625,25562.05078125,25555.349609375,25562.05078125,0
NIFTY,2026-02-13 05:31:00+00:00,25562.599609375,25563.75,25555.69921875,25557.69921875,0
NIFTY,2026-02-13 05:32:00+00:00,25557.849609375,25557.849609375,25544.099609375,25546.400390625,0
NIFTY,2026-02-13 05:33:00+00:00,25546.349609375,25555.599609375,25545.25,25555.599609375,0
NIFTY,2026-02-13 05:34:00+00:00,25554.69921875,25555.099609375,25544.400390625,25545.349609375,0
NIFTY,2026-02-13 05:35:00+00:00,25545.400390625,25547.349609375,25541.80078125,25541.849609375,0
NIFTY,2026-02-13 05:36:00+00:00,25542.05078125,25545.80078125,25540.75,25544.349609375,0
NIFTY,2026-02-13 05:37:00+00:00,25544.44921875,25544.599609375,25538.75,25539.900390625,0
NIFTY,2026-02-13 05:38:00+00:00,25540.05078125,25543.05078125,25536.44921875,25539.900390625,0
NIFTY,2026-02-13 05:39:00+00:00,25539.30078125,25540.25,25533.05078125,25536.400390625,0
NIFTY,2026-02-13 05:40:00+00:00,25537.150390625,25544.25,25536.69921875,25541.69921875,0
NIFTY,2026-02-13 05:41:00+00:00,25542.05078125,25548.150390625,25541.44921875,25544.349609375,0
NIFTY,2026-02-13 05:42:00+00:00,25544.05078125,25546.400390625,25542.099609375,25544.30078125,0
NIFTY,2026-02-13 05:43:00+00:00,25545.349609375,25547.650390625,25542.55078125,25546.5,0
NIFTY,2026-02-13 05:44:00+00:00,25546.55078125,25554.19921875,25545.05078125,25554.19921875,0
NIFTY,2026-02-13 05:45:00+00:00,25553.69921875,25555.94921875,25548.05078125,25549.5,0
NIFTY,2026-02-13 05:46:00+00:00,25550.25,25550.900390625,25543.19921875,25543.55078125,0
NIFTY,2026-02-13 05:47:00+00:00,25543.5,25544.400390625,25534.30078125,25534.80078125,0
NIFTY,2026-02-13 05:48:00+00:00,25535.05078125,25536.349609375,25529.150390625,25530.30078125,0
NIFTY,2026-02-13 05:49:00+00:00,25530.30078125,25532.19921875,25526.099609375,25532.19921875,0
NIFTY,2026-02-13 05:50:00+00:00,25531.900390625,25534.94921875,25529.30078125,25532.25,0
NIFTY,2026-02-13 05:51:00+00:00,25532.849609375,25536.400390625,25530.099609375,25534.69921875,0
NIFTY,2026-02-13 05:52:00+00:00,25534.44921875,25535.150390625,25527.349609375,25529.400390625,0
NIFTY,2026-02-13 05:53:00+00:00,25529.849609375,25533.599609375,25527.099609375,25531.400390625,0
NIFTY,2026-02-13 05:54:00+00:00,25531.349609375,25533.400390625,25522.80078125,25533.099609375,0
NIFTY,2026-02-13 05:55:00+00:00,25533.099609375,25536.55078125,25531.099609375,25536.55078125,0
NIFTY,2026-02-13 05:56:00+00:00,25536.19921875,25545.349609375,25532.05078125,25545.349609375,0
NIFTY,2026-02-13 05:57:00+00:00,25545.099609375,25548.150390625,25542.849609375,25544.19921875,0
NIFTY,2026-02-13 05:58:00+00:00,25544.5,25546.69921875,25540.099609375,25543.69921875,0
NIFTY,2026-02-13 05:59:00+00:00,25543.400390625,25550.650390625,25541.05078125,25548.80078125,0
NIFTY,2026-02-13 06:00:00+00:00,25548.849609375,25549.69921875,25531.44921875,25531.849609375,0
NIFTY,2026-02-13 06:01:00+00:00,25533.44921875,25540.55078125,25529.75,25538.69921875,0
NIFTY,2026-02-13 06:02:00+00:00,25539.44921875,25539.5,25532.650390625,25534.80078125,0
NIFTY,2026-02-13 06:03:00+00:00,25534.30078125,25542.19921875,25532.650390625,25534.44921875,0
NIFTY,2026-02-13 06:04:00+00:00,25535.25,25536.650390625,25529.25,25530.05078125,0
NIFTY,2026-02-13 06:05:00+00:00,25531.349609375,25533.69921875,25526.5,25532.0,0
NIFTY,2026-02-13 06:06:00+00:00,25532.30078125,25533.44921875,25527.44921875,25527.80078125,0
NIFTY,2026-02-13 06:07:00+00:00,25528.19921875,25534.75,25528.19921875,25534.30078125,0
NIFTY,2026-02-13 06:08:00+00:00,25535.25,25537.44921875,25529.30078125,25530.150390625,0
NIFTY,2026-02-13 06:09:00+00:00,25529.19921875,25535.30078125,25528.349609375,25531.25,0
NIFTY,2026-02-13 06:10:00+00:00,25530.900390625,25533.25,25529.849609375,25530.69921875,0
NIFTY,2026-02-13 06:11:00+00:00,25530.94921875,25531.150390625,25525.05078125,25530.400390625,0
NIFTY,2026-02-13 06:12:00+00:00,25531.30078125,25537.5,25527.94921875,25531.400390625,0
NIFTY,2026-02-13 06:13:00+00:00,25532.75,25541.69921875,25532.0,25538.5,0
NIFTY,2026-02-13 06:14:00+00:00,25538.44921875,25551.05078125,25538.19921875,25549.599609375,0
NIFTY,2026-02-13 06:15:00+00:00,25550.80078125,25554.849609375,25546.75,25552.400390625,0
NIFTY,2026-02-13 06:16:00+00:00,25552.900390625,25554.5,25546.849609375,25548.44921875,0
NIFTY,2026-02-13 06:17:00+00:00,25548.0,25552.94921875,25546.80078125,25551.849609375,0
NIFTY,2026-02-13 06:18:00+00:00,25551.650390625,25554.150390625,25548.55078125,25548.55078125,0
NIFTY,2026-02-13 06:19:00+00:00,25549.30078125,25549.599609375,25543.400390625,25548.44921875,0
NIFTY,2026-02-13 06:20:00+00:00,25548.849609375,25551.44921875,25544.55078125,25550.599609375,0
NIFTY,2026-02-13 06:21:00+00:00,25550.650390625,25556.05078125,25549.05078125,25553.900390625,0
NIFTY,2026-02-13 06:22:00+00:00,25553.75,25553.75,25547.650390625,25552.0,0
NIFTY,2026-02-13 06:23:00+00:00,25552.349609375,25555.5,25551.5,25554.05078125,0
NIFTY,2026-02-13 06:24:00+00:00,25555.349609375,25557.0,25550.94921875,25551.80078125,0
NIFTY,2026-02-13 06:25:00+00:00,25552.400390625,25556.349609375,25548.19921875,25555.69921875,0
NIFTY,2026-02-13 06:26:00+00:00,25555.94921875,25557.44921875,25551.19921875,25555.599609375,0
NIFTY,2026-02-13 06:27:00+00:00,25555.19921875,25559.80078125,25553.30078125,25557.80078125,0
NIFTY,2026-02-13 06:28:00+00:00,25558.25,25561.25,25554.05078125,25554.44921875,0
NIFTY,2026-02-13 06:29:00+00:00,25554.94921875,25559.55078125,25551.349609375,25558.849609375,0
NIFTY,2026-02-13 06:30:00+00:00,25559.0,25564.849609375,25558.05078125,25558.349609375,0
NIFTY,2026-02-13 06:31:00+00:00,25559.05078125,25561.69921875,25557.400390625,25559.19921875,0
NIFTY,2026-02-13 06:32:00+00:00,25560.0,25568.400390625,25558.900390625,25567.400390625,0
NIFTY,2026-02-13 06:33:00+00:00,25567.849609375,25568.5,25563.55078125,25565.25,0
NIFTY,2026-02-13 06:34:00+00:00,25566.099609375,25566.099609375,25554.94921875,25562.650390625,0
NIFTY,2026-02-13 06:35:00+00:00,25562.150390625,25564.0,25560.599609375,25563.19921875,0
NIFTY,2026-02-13 06:36:00+00:00,25563.94921875,25572.55078125,25562.650390625,25572.55078125,0
NIFTY,2026-02-13 06:37:00+00:00,25572.69921875,25573.900390625,25567.05078125,25568.150390625,0
NIFTY,2026-02-13 06:38:00+00:00,25569.849609375,25571.25,25566.849609375,25568.599609375,0
NIFTY,2026-02-13 06:39:00+00:00,25569.25,25575.55078125,25568.05078125,25568.80078125,0
NIFTY,2026-02-13 06:40:00+00:00,25568.55078125,25569.44921875,25562.150390625,25566.25,0
NIFTY,2026-02-13 06:41:00+00:00,25566.94921875,25575.650390625,25564.849609375,25569.400390625,0
NIFTY,2026-02-13 06:42:00+00:00,25569.599609375,25576.69921875,25564.05078125,25566.94921875,0
NIFTY,2026-02-13 06:43:00+00:00,25567.69921875,25571.80078125,25564.400390625,25569.19921875,0
NIFTY,2026-02-13 06:44:00+00:00,25570.5,25574.849609375,25566.05078125,25573.400390625,0
NIFTY,2026-02-13 06:45:00+00:00,25573.5,25576.150390625,25568.75,25568.75,0
NIFTY,2026-02-13 06:46:00+00:00,25569.25,25569.25,25562.05078125,25562.30078125,0
